,Year,Scenario,Country,value
505,2018,2.0deg,MA,245319840084.09818
506,2018,2.0deg,ML,9253738882.800064
507,2018,2.0deg,MR,9995260183.824715
508,2018,2.0deg,MW,16535031343.464977
509,2018,2.0deg,MZ,106860990483.5118
510,2018,2.0deg,NE,6448955155.200273
511,2018,2.0deg,NG,486315921584.20026
512,2018,2.0deg,NM,20587681349.952312
513,2018,2.0deg,RW,7205745854.808559
514,2018,2.0deg,SD,87729572569.34613
515,2018,2.0deg,SL,3059248290.193672
516,2018,2.0deg,SN,10806465813.531385
517,2018,2.0deg,SO,647118716.0306147
518,2018,2.0deg,SS,183561354.49877727
519,2018,2.0deg,SZ,2797068479.9173856
520,2018,2.0deg,TD,427054613.5814571
521,2018,2.0deg,TG,3168606507.9769516
522,2018,2.0deg,TN,115237090355.61356
523,2018,2.0deg,TZ,35772753431.44742
524,2018,2.0deg,UG,34108274868.2957
525,2018,2.0deg,ZA,694482635418.5582
526,2018,2.0deg,ZM,105801156904.21997
527,2018,2.0deg,ZW,56903774576.476036
528,2018,Reference,AO,127652894203.14243
529,2018,Reference,BF,10847386495.783772
530,2018,Reference,BI,2489026513.144624
531,2018,Reference,BJ,14320144654.668852
532,2018,Reference,BW,5906466865.71202
533,2018,Reference,CD,116489651652.28358
534,2018,Reference,CF,519777402.7832102
535,2018,Reference,CG,32696714240.948402
536,2018,Reference,CI,39430486253.83676
537,2018,Reference,CM,64569452421.558655
538,2018,Reference,DJ,41580196.322927445
539,2018,Reference,DZ,878774842086.7625
540,2018,Reference,EG,1777969155849.2927
541,2018,Reference,ER,246961243.3340996
542,2018,Reference,ET,183350037775.8487
543,2018,Reference,GA,16666655348.186382
544,2018,Reference,GH,172822024141.4582
545,2018,Reference,GM,205888122.5760859
546,2018,Reference,GN,16124604884.95591
547,2018,Reference,GQ,17017734779.954615
548,2018,Reference,GW,43608498.582582444
549,2018,Reference,KE,70141154449.30423
550,2018,Reference,LR,3239944709.0360374
551,2018,Reference,LS,3290870065.0013485
552,2018,Reference,LY,276994103822.293
553,2018,Reference,MA,245626113725.3061
554,2018,Reference,ML,9135590276.17516
555,2018,Reference,MR,10101746052.456604
556,2018,Reference,MW,16535031343.464977
557,2018,Reference,MZ,106860990483.5118
558,2018,Reference,NE,6448955155.200273
559,2018,Reference,NG,486315921584.20026
560,2018,Reference,NM,20587681349.952312
561,2018,Reference,RW,7205745854.808559
562,2018,Reference,SD,87729572569.34613
563,2018,Reference,SL,3105392166.6008234
564,2018,Reference,SN,10960109709.700254
565,2018,Reference,SO,647118716.0306147
566,2018,Reference,SS,183561354.49877727
567,2018,Reference,SZ,2797068479.9173856
568,2018,Reference,TD,427054613.5814571
569,2018,Reference,TG,3168606507.9769516
570,2018,Reference,TN,119033476073.84348
571,2018,Reference,TZ,35772753431.44742
572,2018,Reference,UG,34108274868.2957
573,2018,Reference,ZA,695550272314.2701
574,2018,Reference,ZM,103767383803.58533
575,2018,Reference,ZW,56903774576.476036
576,2019,1.5deg,AO,195132833821.7693
577,2019,1.5deg,BF,10883895936.457563
578,2019,1.5deg,BI,2489026513.144624
579,2019,1.5deg,BJ,14449448923.721859
580,2019,1.5deg,BW,6041801120.098058
581,2019,1.5deg,CD,115779964362.01546
582,2019,1.5deg,CF,546652407.7236389
583,2019,1.5deg,CG,32488514000.026463
584,2019,1.5deg,CI,39430486253.83676
585,2019,1.5deg,CM,64540042038.793655
586,2019,1.5deg,DJ,66426899.003701165
587,2019,1.5deg,DZ,927806173383.692
588,2019,1.5deg,EG,1819328918303.8455
589,2019,1.5deg,ER,272315021.579787
590,2019,1.5deg,ET,216182798239.95932
591,2019,1.5deg,GA,24192492810.0776
592,2019,1.5deg,GH,180109080662.15375
593,2019,1.5deg,GM,190168780.06375965
594,2019,1.5deg,GN,16124604884.95591
595,2019,1.5deg,GQ,17054751296.193317
596,2019,1.5deg,GW,55778312.14051243
597,2019,1.5deg,KE,124058230795.0828
598,2019,1.5deg,LR,3240451784.600951
599,2019,1.5deg,LS,3291377140.566262
600,2019,1.5deg,LY,251605534299.71304
601,2019,1.5deg,MA,218725450789.48657
602,2019,1.5deg,ML,12410805282.239952
603,2019,1.5deg,MR,10898886596.206364
604,2019,1.5deg,MW,19762106312.65085
605,2019,1.5deg,MZ,106860990483.5118
606,2019,1.5deg,NE,6566089610.695349
607,2019,1.5deg,NG,628417093361.9686
608,2019,1.5deg,NM,20587681349.952312
609,2019,1.5deg,RW,8391934730.957443
610,2019,1.5deg,SD,87729572569.34613
611,2019,1.5deg,SL,3108434619.990306
612,2019,1.5deg,SN,15486750388.831972
613,2019,1.5deg,SO,748533829.0133646
614,2019,1.5deg,SS,236804288.81472096
615,2019,1.5deg,SZ,2797068479.9173856
616,2019,1.5deg,TD,3336502323.577021
617,2019,1.5deg,TG,3168606507.9769516
618,2019,1.5deg,TN,121149959621.47705
619,2019,1.5deg,TZ,36820607103.73851
620,2019,1.5deg,UG,68292595351.56893
621,2019,1.5deg,ZA,711519235881.4299
622,2019,1.5deg,ZM,105801156904.21997
623,2019,1.5deg,ZW,56903774576.476036
624,2019,2.0deg,AO,195102511415.27765
625,2019,2.0deg,BF,11020806338.984276
626,2019,2.0deg,BI,2489026513.144624
627,2019,2.0deg,BJ,14449448923.721859
628,2019,2.0deg,BW,6041801120.098058
629,2019,2.0deg,CD,115779964362.01546
630,2019,2.0deg,CF,546652407.7236389
631,2019,2.0deg,CG,32488514000.026463
632,2019,2.0deg,CI,39468009845.64038
