,Year,Scenario,Country,Wind (Onshore),Wind (Offshore),Solar CSP,Solar PV,Hydro,Oil,Gas CCS,Gas,Nuclear,Geothermal,Coal,Coal CCS,Biomass,BECCS,Hydrogen
70,2015,2.0deg,LR,0.0,0.0,0.0,0.0,117512963.90844408,66933974.56861491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2015,2.0deg,LS,0.0,0.0,0.0,0.0,3290362989.436434,507075.5649137493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2015,2.0deg,LY,0.0,0.0,0.0,362098283.011728,0.0,1279351650.2773895,0.0,343219319078.5065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2015,2.0deg,MA,0.0,18748110348.71898,15365113138.732105,3138185119.4349756,51617569396.78406,2006498010.363706,0.0,83720164323.3286,0.0,0.0,24548130031.689735,0.0,0.0,0.0,0.0
74,2015,2.0deg,ML,0.0,0.0,0.0,362098283.011728,7814612099.9115305,1244870511.8632545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2015,2.0deg,MR,0.0,1727936437.669952,0.0,1206994276.70576,2115233350.3519933,206379754.91989598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2015,2.0deg,MW,0.0,0.0,0.0,724196566.023456,15276685308.097729,70990579.0879249,0.0,0.0,0.0,0.0,0.0,0.0,319149429.82035995,0.0,0.0
77,2015,2.0deg,MZ,0.0,0.0,0.0,724196566.023456,94539179464.34326,16733493.642153727,0.0,7428989590.443863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2015,2.0deg,NE,0.0,0.0,0.0,0.0,0.0,171898616.50576103,0.0,0.0,0.0,0.0,357132060.18537897,0.0,0.0,0.0,0.0
79,2015,2.0deg,NG,0.0,172793643.7669952,0.0,1206994276.70576,86019489580.98106,405660451.93099946,0.0,212226523034.7616,0.0,0.0,0.0,0.0,78014305.06719911,0.0,0.0
80,2015,2.0deg,NM,0.0,0.0,0.0,2896786264.093824,15541089476.89173,14705191.38249873,0.0,0.0,0.0,0.0,229316375.48745388,0.0,0.0,0.0,0.0
81,2015,2.0deg,RW,0.0,0.0,0.0,603497138.35288,3701658363.1159883,8620284.603533737,0.0,60644812.983215205,0.0,0.0,150371393.76226482,0.0,35461047.757817775,0.0,0.0
82,2015,2.0deg,SD,0.0,0.0,0.0,844895993.694032,69362026946.9591,773797312.0583814,0.0,0.0,0.0,0.0,0.0,0.0,2425535666.6347356,0.0,0.0
83,2015,2.0deg,SL,0.0,0.0,0.0,0.0,117512963.90844408,34988213.9790487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2015,2.0deg,SN,0.0,0.0,0.0,844895993.694032,3554767158.230433,646014269.7001166,0.0,0.0,0.0,0.0,285705648.1483032,0.0,0.0,0.0,0.0
85,2015,2.0deg,SO,0.0,215992054.708744,0.0,120699427.67057599,0.0,65919823.43878741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2015,2.0deg,SS,0.0,0.0,0.0,0.0,0.0,100400961.85292237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2015,2.0deg,SZ,0.0,0.0,0.0,0.0,2350259278.1688814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446809201.748504,0.0,0.0
88,2015,2.0deg,TD,0.0,0.0,0.0,0.0,0.0,52228783.18611618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2015,2.0deg,TG,0.0,0.0,0.0,120699427.67057599,2908445856.7339907,18761795.901808724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2015,2.0deg,TN,0.0,14212277199.835356,0.0,1931190842.7292159,2115233350.3519933,1298620521.744112,0.0,114679341351.25995,0.0,0.0,0.0,0.0,99290933.72188976,0.0,0.0
91,2015,2.0deg,TZ,0.0,0.0,0.0,603497138.35288,24765857143.70459,327063739.3693683,0.0,8581241037.124951,0.0,0.0,240594230.01962373,0.0,546100135.4703938,0.0,0.0
92,2015,2.0deg,UG,0.0,0.0,0.0,1448393132.046912,29701401627.859238,25353778.245687466,0.0,0.0,0.0,0.0,0.0,0.0,617022230.9860293,0.0,0.0
93,2015,2.0deg,ZA,0.0,44451164859.05952,14561708530.17095,98732131834.53116,99151563297.74968,694693523.9318366,0.0,8823820289.057812,4089827696.7595396,0.0,270664749487.23264,0.0,2425535666.6347356,0.0,0.0
94,2015,2.0deg,ZM,0.0,0.0,0.0,241398855.34115198,98710889683.09302,52735858.75102993,0.0,0.0,0.0,0.0,300742787.52452964,0.0,432624782.64537686,0.0,0.0
95,2015,2.0deg,ZW,0.0,0.0,0.0,120699427.67057599,30494614134.241238,0.0,0.0,0.0,0.0,0.0,10612461114.771841,0.0,985817127.6673341,0.0,0.0
96,2015,Reference,AO,0.0,0.0,0.0,844895993.694032,38367982716.10699,972063857.9396574,0.0,6519317395.695635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2015,Reference,BF,0.0,0.0,0.0,482797710.68230397,558186578.5651094,375742993.6010882,0.0,0.0,0.0,0.0,0.0,0.0,28368838.20625422,0.0,0.0
98,2015,Reference,BI,0.0,0.0,0.0,241398855.34115198,1586425012.763995,1521226.694741248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2015,Reference,BJ,0.0,0.0,0.0,241398855.34115198,29378240.97711102,53750009.88085742,0.0,6125126111.304736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2015,Reference,BW,0.0,0.0,0.0,120699427.67057599,0.0,41580196.322927445,0.0,0.0,0.0,0.0,5597575132.800308,0.0,0.0,0.0,0.0
101,2015,Reference,CD,0.0,0.0,0.0,0.0,104057729540.92723,7606133.47370624,0.0,212256845.44125322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2015,Reference,CF,0.0,0.0,0.0,0.0,440673614.65666527,25860853.810601216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2015,Reference,CG,0.0,0.0,0.0,0.0,8549068124.339306,13183964.687757483,0.0,5185131510.0649,0.0,0.0,0.0,0.0,85106514.61876266,0.0,0.0
104,2015,Reference,CI,0.0,0.0,0.0,241398855.34115198,25617826132.040806,280919862.9622171,0.0,13281214043.32413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2015,Reference,CM,0.0,0.0,0.0,362098283.011728,33226790545.11256,591250108.6894317,0.0,15585716936.686308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
