,Region,Year,Export_factor,Regional_factor
414,Sub-Saharan Africa,2021,0.3518333333345254,6.2672480601140705
415,Sub-Saharan Africa,2022,0.3665000000012242,6.099921652206831
416,Sub-Saharan Africa,2023,0.38150000000109685,5.939459548149898
417,Sub-Saharan Africa,2024,0.39683333333437076,5.785861747943272
418,Sub-Saharan Africa,2025,0.4125000000010459,5.639128251588772
419,Sub-Saharan Africa,2026,0.4285000000011223,5.499259059084579
420,Sub-Saharan Africa,2027,0.4448333333343726,5.366254170430693
421,Sub-Saharan Africa,2028,0.4615000000010241,5.240113585627114
422,Sub-Saharan Africa,2029,0.47850000000096315,5.120837304673842
423,Sub-Saharan Africa,2030,0.49583333333430346,5.008425327572695
424,Sub-Saharan Africa,2031,0.5135000000009313,4.9028776543200365
425,Sub-Saharan Africa,2032,0.5315000000009604,4.804194284919504
426,Sub-Saharan Africa,2033,0.5498333333342771,4.712375219371097
427,Sub-Saharan Africa,2034,0.5685000000008813,4.627420457669359
428,Sub-Saharan Africa,2035,0.5875000000007731,4.549329999821566
429,Sub-Saharan Africa,2036,0.6068333333341798,4.47810384582408
430,Sub-Saharan Africa,2037,0.626500000000874,4.413741995675082
431,Sub-Saharan Africa,2038,0.6465000000008558,4.3562444493782095
432,Sub-Saharan Africa,2039,0.6668333333341252,4.305611206929825
433,Sub-Saharan Africa,2040,0.6875000000007958,4.261842268335386
434,Sub-Saharan Africa,2041,0.708500000000754,4.224937633591253
435,Sub-Saharan Africa,2042,0.7298333333341134,4.194897302695608
436,Sub-Saharan Africa,2043,0.7515000000006467,4.171721275652089
437,Sub-Saharan Africa,2044,0.7735000000006949,4.155409552458877
438,Sub-Saharan Africa,2045,0.7958333333340306,4.145962133115972
439,Sub-Saharan Africa,2046,0.8185000000007676,4.143379017623374
440,Sub-Saharan Africa,2047,0.8415000000006785,4.147660205981083
441,Sub-Saharan Africa,2048,0.8648333333339906,4.158805698190918
442,Sub-Saharan Africa,2049,0.888500000000704,4.176815494251059
443,Sub-Saharan Africa,2050,0.9125000000005912,4.201689594159689
444,Sub-Saharan Africa,2051,0.9368333333338796,4.092266791452413
445,Sub-Saharan Africa,2052,0.9615000000005693,4.092266791452413
446,Sub-Saharan Africa,2053,0.9865000000006603,4.092266791452413
447,Sub-Saharan Africa,2054,1.0118333333339251,4.092266791452413
448,Sub-Saharan Africa,2055,1.0375000000005912,4.092266791452413
449,Sub-Saharan Africa,2056,1.0635000000005448,4.092266791452413
450,Sub-Saharan Africa,2057,1.0898333333338996,4.092266791452413
451,Sub-Saharan Africa,2058,1.116500000000542,4.092266791452413
452,Sub-Saharan Africa,2059,1.143500000000472,4.092266791452413
453,Sub-Saharan Africa,2060,1.170833333333917,4.092266791452413
454,Sub-Saharan Africa,2061,1.1985000000005357,4.092266791452413
455,Sub-Saharan Africa,2062,1.226500000000442,4.092266791452413
456,Sub-Saharan Africa,2063,1.2548333333338633,4.092266791452413
457,Sub-Saharan Africa,2064,1.283500000000572,4.092266791452413
458,Sub-Saharan Africa,2065,1.3125000000005684,4.092266791452413
