r,t,y,TotalCapacityAnnual
REGION,AOCR00I00X,2041,16.688623098141
REGION,AOCR00I00X,2042,16.688623098141
REGION,AOCR00I00X,2043,16.688623098141
REGION,AOCR00I00X,2044,16.688623098141
REGION,AOCR00I00X,2045,16.688623098141
REGION,AOCR00I00X,2046,16.688623098141
REGION,AOCR00I00X,2047,16.688623098141
REGION,AOCR00I00X,2048,16.688623098141
REGION,AOCR00I00X,2049,16.688623098141
REGION,AOCR00I00X,2050,16.688623098141
REGION,AOCR00I00X,2051,16.688623098141
REGION,AOCR00I00X,2052,16.688623098141
REGION,AOCR00I00X,2053,16.688623098141
REGION,AOCR00I00X,2054,16.688623098141
REGION,AOCR00I00X,2055,16.688623098141
REGION,AOCR00I00X,2056,16.688623098141
REGION,AOCR00I00X,2057,16.688623098141
REGION,AOCR00I00X,2058,16.688623098141
REGION,AOCR00I00X,2059,16.688623098141
REGION,AOCR00I00X,2060,16.688623098141
REGION,AOCR00I00X,2061,16.688623098141
REGION,AOCR00I00X,2062,16.688623098141
REGION,AOCR00I00X,2063,16.688623098141
REGION,AOCR00I00X,2064,16.688623098141
REGION,AOCR00I00X,2065,16.688623098141
REGION,AOCR00I00X,2066,16.688623098141
REGION,AOCR00I00X,2067,16.688623098141
REGION,AOCR00I00X,2068,16.688623098141
REGION,AOCR00I00X,2069,16.688623098141
REGION,AOCR00I00X,2070,999999999.0
REGION,AOCR00P00X,2070,999999999.0
REGION,AOCR00X00X,2015,3803.0103165096
REGION,AOCR00X00X,2016,3803.0103165096
REGION,AOCR00X00X,2017,4275.22290144911
REGION,AOCR00X00X,2018,4275.22290144911
REGION,AOCR00X00X,2019,4283.61731125897
REGION,AOCR00X00X,2020,4300.30593435712
REGION,AOCR00X00X,2021,5444.98194438619
REGION,AOCR00X00X,2022,5444.98194438619
REGION,AOCR00X00X,2023,5444.98194438619
REGION,AOCR00X00X,2024,5444.98194438619
REGION,AOCR00X00X,2025,5987.09540249841
REGION,AOCR00X00X,2026,5987.09540249841
REGION,AOCR00X00X,2027,5987.09540249841
REGION,AOCR00X00X,2028,6274.31312766805
REGION,AOCR00X00X,2029,6274.31312766805
REGION,AOCR00X00X,2030,6274.31312766805
REGION,AOCR00X00X,2031,6274.31312766805
REGION,AOCR00X00X,2032,6274.31312766805
REGION,AOCR00X00X,2033,6274.31312766805
REGION,AOCR00X00X,2034,6274.31312766805
REGION,AOCR00X00X,2035,999999999.0
REGION,AOCR00X00X,2036,999999999.0
REGION,AOCR00X00X,2037,999999999.0
REGION,AOCR00X00X,2038,999999999.0
REGION,AOCR00X00X,2039,999999999.0
REGION,AOCR00X00X,2040,999999999.0
REGION,AOCR00X00X,2041,999999999.0
REGION,AOCR00X00X,2042,999999999.0
REGION,AOCR00X00X,2043,999999999.0
REGION,AOCR00X00X,2044,999999999.0
REGION,AOCR00X00X,2045,999999999.0
REGION,AOCR00X00X,2046,999999999.0
REGION,AOCR00X00X,2047,999999999.0
REGION,AOCR00X00X,2048,999999999.0
REGION,AOCR00X00X,2049,999999999.0
REGION,AOCR00X00X,2050,999996195.989684
REGION,AOCR00X00X,2051,999996195.989684
REGION,AOCR00X00X,2052,999999999.0
REGION,AOCR00X00X,2053,999999999.0
REGION,AOCR00X00X,2054,999999990.60559
REGION,AOCR00X00X,2055,999999973.916967
REGION,AOCR00X00X,2056,999999999.0
