r,t,y,NewCapacity
REGION,AOEL00T00X,2029,0.282024572031583
REGION,AOEL00T00X,2030,0.0550406228580655
REGION,AOEL00T00X,2031,0.2281685038003
REGION,AOEL00T00X,2032,0.259920650341527
REGION,AOEL00T00X,2033,0.303803990817404
REGION,AOEL00T00X,2034,0.378117631342022
REGION,AOEL00T00X,2036,0.208252573864256
REGION,AOEL00T00X,2037,0.254051378976563
REGION,AOEL00T00X,2038,0.385043223863856
REGION,AOEL00T00X,2039,0.45199979347767
REGION,AOEL00T00X,2040,0.505778571130506
REGION,AOEL00T00X,2041,0.403699196891327
REGION,AOEL00T00X,2042,0.443398750274843
REGION,AOEL00T00X,2043,0.487272331094982
REGION,AOEL00T00X,2044,0.533758718792258
REGION,AOEL00T00X,2045,0.57367093979459
REGION,AOEL00T00X,2046,0.611559542519659
REGION,AOEL00T00X,2047,0.654364399827362
REGION,AOEL00T00X,2048,0.699916551335363
REGION,AOEL00T00X,2049,0.748391621396953
REGION,AOEL00T00X,2050,0.827757925607223
REGION,AOEL00T00X,2051,0.564922512056341
REGION,AOEL00T00X,2052,0.58743183059604
REGION,AOEL00T00X,2053,0.610847398024532
REGION,AOEL00T00X,2054,0.635205661216627
REGION,AOEL00T00X,2055,0.604988483881763
REGION,AOEL00T00X,2056,0.68689501321213
REGION,AOEL00T00X,2057,0.714295950139689
REGION,AOEL00T00X,2058,0.74279017135704
REGION,AOEL00T00X,2059,0.77241912926927
REGION,AOEL00T00X,2060,0.80322692508841
REGION,AOEL00T00X,2061,0.612336339852654
REGION,AOEL00T00X,2062,0.483652437781629
REGION,AOEL00T00X,2063,0.498979497791645
REGION,AOEL00T00X,2064,0.542588378248595
REGION,AOEL00T00X,2065,0.526983994574508
REGION,AOEL00T00X,2066,0.565931669998213
REGION,AOEL00T00X,2067,0.575603487492067
REGION,AOEL00T00X,2068,0.617736133571133
REGION,AOEL00T00X,2069,0.656826143444242
REGION,AOEL00T00X,2070,0.697879803690867
REGION,AOEL00TDTX,2016,0.0718855945892365
REGION,AOEL00TDTX,2017,0.202139968982826
REGION,AOEL00TDTX,2018,0.200997935259761
REGION,AOEL00TDTX,2019,0.199865552525901
REGION,AOEL00TDTX,2020,0.198926847249539
REGION,AOEL00TDTX,2021,0.155899022907486
REGION,AOEL00TDTX,2022,0.167058570533871
REGION,AOEL00TDTX,2023,0.179050117588719
REGION,AOEL00TDTX,2024,0.191932531314044
